Listing_ID,Title,Price,URL,Модел,Цена,Състояние,Тип,Произведено,Тип двигател,Мощност[к.с.],Скоростна кутия,Цвят,Пробег,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,
26005716,BMW X1 * XDRIVE28i /SPORT PKG LEATHER PAN/ROOF B/SPOT CAM,"35 350 лв. - 18 074,17 €Цената е с включено ДДС",https://www.auto.bg/obiava/26005716/bmw-x1-xdrive28i-sport-pkg-leather-pan-roof-b-spot-cam,BMW X1,35 350 лв.,Употребяван,Джип,януари 2018 г.,BMW X1 Бензин,228 к.с,Автоматична,,73438 км,,,,,,,,,,,,,,,
48184255,Mercedes-Benz S 500 Long Facelift,"35 500 лв. - 18 150,86 €Не се начислява ДДС",https://www.auto.bg/obiava/48184255/mercedes-benz-s-500-long-facelift,Mercedes-Benz S 500,35 500 лв.,Употребяван,Седан,май 2011 г.,Mercedes-Benz S 500 Бензин,388 к.с,Автоматична,Бял,228000 км,,,,,,,,,,,,,,,
67167764,BMW 320 СМЕНЕНИ ВЕРИГИ!,"11 000 лв. - 5 624,21 €Не се начислява ДДС",https://www.auto.bg/obiava/67167764/bmw-320-smeneni-verigi,BMW 320,11 000 лв.,Употребяван,Комби,март 2011 г.,BMW 320 Дизел,184 к.с,Ръчна,Светло син,230000 км,,,,,,,,,,,,,,,
76543658,Audi A8 4.2TDI ЛИЗИНГ!,"37 999 лв. - 19 428,58 €Не се начислява ДДС",https://www.auto.bg/obiava/76543658/audi-a8-4-2tdi-lizing,Audi A8,37 999 лв.,Употребяван,Стреч лимузина,октомври 2013 г.,Audi A8 Дизел,351 к.с,Автоматична,Черен,246000 км,,,,,,,,,,,,,,,
78812803,Toyota Land cruiser 120,"22 000 лв. - 11 248,42 €Не се начислява ДДС",https://www.auto.bg/obiava/78812803/toyota-land-cruiser-120,Toyota Land cruiser,22 000 лв.,Употребяван,Джип,януари 2006 г.,Toyota Land cruiser Дизел,166 к.с,Автоматична,Черен,435300 км,,,,,,,,,,,,,,,
23705917,BMW 740 d xDrive* M-пакет* HUD* 360* LED-Laser* Exclusive,"68 500 лв. - 35 023,49 €Цената е с включено ДДС",https://www.auto.bg/obiava/23705917/bmw-740-d-xdrive-m-paket-hud-360-led-laser-exclusive,BMW 740,68 500 лв.,Употребяван,Седан,август 2017 г.,BMW 740 Дизел,320 к.с,Автоматична,,0 км,,,,,,,,,,,,,,,
57132958,Toyota Avensis,"7 900 лв. - 4 039,21 €Не се начислява ДДС",https://www.auto.bg/obiava/57132958/toyota-avensis,Toyota Avensis,7 900 лв.,Употребяван,Седан,март 2006 г.,Toyota Avensis Дизел,90 к.с,Ръчна,,220000 км,,,,,,,,,,,,,,,
26325837,BMW 330 * X-DRIVE * SPORT PKG LEATHER SUNROOF NAVI CAME,"32 850 лв. - 16 795,94 €Цената е с включено ДДС",https://www.auto.bg/obiava/26325837/bmw-330-x-drive-sport-pkg-leather-sunroof-navi-came,BMW 330,32 850 лв.,Употребяван,Седан,януари 2018 г.,BMW 330 Бензин,248 к.с,Автоматична,,121780 км,,,,,,,,,,,,,,,
67235515,Audi Q7 * S-LINE /7 PASS/NAVI/LEATHER/PAN/ROOF B/SPOT,"57 750 лв. - 29 527,11 €Цената е с включено ДДС",https://www.auto.bg/obiava/67235515/audi-q7-s-line-7-pass-navi-leather-pan-roof-b-spot,Audi Q7,57 750 лв.,Употребяван,Джип,януари 2021 г.,Audi Q7 Бензин,335 к.с,Автоматична,,91938 км,,,,,,,,,,,,,,,
35877328,BMW 430 * xDrive /LEATHER/NAV/B SPOT/CARPLAY,"49 450 лв. - 25 283,38 €Цената е с включено ДДС",https://www.auto.bg/obiava/35877328/bmw-430-xdrive-leather-nav-b-spot-carplay,BMW 430,49 450 лв.,Употребяван,Кабрио,януари 2018 г.,BMW 430 Бензин,248 к.с,Автоматична,,85538 км,,,,,,,,,,,,,,,
